일본판 화수|한국판 화수|제목|에피소드 분류 키워드|에피소드 컬러 코드
961|19-23|글램핑 괴사건|일반|X
962|19-24|모리 코고로 대강연회 (전편)|일반|X
963|19-25|모리 코고로 대강연회 (중편)|일반|X
964|19-26|모리 코고로 대강연회 (후편)|일반|X
965|19기 스페셜|대괴수 고메라vs가면 야이바 (서편)|일반|X
966|19기 스페셜|대괴수 고메라vs가면 야이바 (파편)|일반|X
967|19기 스페셜|대괴수 고메라vs가면 야이바 (급편)|일반|X
968|19기 스페셜|대괴수 고메라vs가면 야이바 (결편)|일반|X
969|19-27|카가 영애 미스터리 투어 (전편)|일반|X
970|19-28|카가 영애 미스터리 투어 (후편)|일반|X
971|20-01|표적은 경시청 교통부 (1)|일반|X
972|20-02|표적은 경시청 교통부 (2)|일반|X
973|20-03|표적은 경시청 교통부 (3)|아카이|X
974|20-04|표적은 경시청 교통부 (4)|일반|X
975|20-05|아내 찾기의 비밀|일반|X
976|20-06|추적! 탐정 택시|일반|X
977|20-07|깨어진 어항|일반|X
978|20-08|강 너머의 사건|일반|X
979|20-09|탐정을 끌어들이다|일반|X
980|20-10|완전 범죄의 조언|일반|X
981|20-11|도련님정에 잘 오셨습니다 (전편)|일반|X
982|20-12|도련님정에 잘 오셨습니다 (후편)|일반|X
983|20-13|키드vs공명 표적이 된 입술 (전편)|괴도키드|X
984|20-14|키드vs공명 표적이 된 입술 (후편)|경찰|X
985|20-15|두 개의 본모습 (전편)|일반|X
986|20-16|두 개의 본모습 (후편)|일반|X
987|20-17|회사 해산 파티|일반|X
988|20-18|으르렁거리는 처녀들|일반|X
989|20-19|아유미의 그림일기 사건부|일반|X
990|20-20|오토매틱 비극 (전편)|일반|X
991|20-21|오토매틱 비극 (후편)|일반|X
992|20-22|상가 카페에서의 사건|일반|X
993|20-23|대역은 쿄고쿠 마코토 (전편)|아카이|X
994|20-24|대역은 쿄고쿠 마코토 (중편)|아카이|X
995|20-25|대역은 쿄고쿠 마코토 (후편)|검은조직|X
996|20-26|능력 있는 매는 죄를 감춘다|일반|X
997|20-27|스마일 마을의 음모|일반|X
998|20-28|증오의 프라이팬|일반|X
999|20-29|성가신 친절심|일반|X
1000|20기 스페셜|피아노 소나타 『월광』 살인사건 (리메이크) (전편)|일반|X
1001|20기 스페셜|피아노 소나타 『월광』 살인사건 (리메이크) (후편)|일반|X
1002|20-30|베이카 상점가 더스트 미스터리|아카이|X
1003|20-31|36칸의 완전범죄 (전편)|검은조직|X
1004|20-32|36칸의 완전범죄 (중편)|검은조직|X
1005|20-33|36칸의 완전범죄 (후편)|검은조직|X
1006|20-34|독을 넣은 것은 누구|일반|X
1007|21-01|복수자 (전편)|일반|X
1008|21-02|복수자 (후편)|일반|X
1009|21-03|분실물은 사건의 냄새|일반|X
1010|21-04|웃는 얼굴을 지운 아이돌|일반|X
1011|21-05|산나물 채취와 클로버 (전편)|검은조직|X
1012|21-06|산나물 채취와 클로버 (후편)|검은조직|X
1013|21-07|지나치게 사랑한 남자|일반|X
1014|21-08|마왕이라고 불렸던 소설가|일반|X
1015|21-09|잠복 근무|일반|X
1016|21-10|모노레일 저격 사건 (전편)|일반|X
1017|21-11|모노레일 저격 사건 (후편)|일반|X
1018|21-12|골동품 접시는 숨길 수 없다 (전편)|아카이|X
1019|21-13|골동품 접시는 숨길 수 없다 (중편)|아카이|X
1020|21-14|골동품 접시는 숨길 수 없다 (후편)|아카이|X
1021|21-15|나쁜 친구들의 윤무(론도)|일반|X
1022|21-16|저주의 뮤지엄|일반|X
1023|21-17|기적 소리가 들리는 고서점 3|일반|X
1024|21-18|오오카 모미지의 도전장 (전편)|일반|X
1025|21-19|오오카 모미지의 도전장 (후편)|검은조직|X
1026|21-20|말할 수 없는 목격자|일반|X
1027|21-21|커튼의 저편|일반|X
1028|21-22|케이크를 사랑하는 여자의 발라드|일반|X
1029|21-23|경찰학교편 Wild Police Story CASE. 마츠다 진페이|경찰|X
1030|21-24|공백의 1년 (전편)|일반|X
1031|21-25|공백의 1년 (후편)|일반|X
1032|21-26|모델 모리 란|일반|X
1033|21-27|태합 명인의 쇼기판 (첫수편)|아카이|X
1034|21-28|태합 명인의 쇼기판 (묘수편)|아카이|X
1035|21-29|태합 명인의 쇼기판 (장군편)|아카이|X
1036|21-30|화이트아웃 (전편)|일반|X
1037|21-31|화이트아웃 (후편)|일반|X
1038|21-32|경찰학교편 Wild Police Story CASE. 다테 와타루|경찰|X
1039|21-33|하늘을 나는 할로윈 호박|일반|X
1040|21-34|아유미의 그림일기 사건부 2|일반|X
1041|21-35|말할 수 없는 알리바이|일반|X
1042|21-36|경찰학교편 Wild Police Story CASE. 하기와라 켄지|경찰|X
1043|22-01|복수의 피규어|일반|X
1044|22-02|톤지루는 목숨을 건 신호|일반|X
1045|22-03|천벌이 내려지는 생일 파티 (전편)|아카이|X
1046|22-04|천벌이 내려지는 생일 파티 (후편)|아카이|X
1047|22-05|붉은 양의 섬뜩한 게임 (전편)|일반|X
1048|22-06|붉은 양의 섬뜩한 게임 (후편)|일반|X
1049|22-07|메구레 형사 인생의 위기|일반|X
1050|22-08|모리카와 저택의 음모 (전편)|일반|X
1051|22-09|모리카와 저택의 음모 (후편)|일반|X
1052|22-10|소년 탐정단의 담력시험|일반|X
1053|22-11|목장에 떨어진 불씨 (전편)|검은조직|X
1054|22-12|목장에 떨어진 불씨 (후편)|검은조직|X
1055|22-13|유령이 되어 복수를|일반|X
1056|22-14|그 사람을 되찾고 싶어|일반|X
1057|22-15|나쁜 녀석들|일반|X
1058|22-16|경찰서에 눌러앉은 남자|일반|X
1059|22-17|오키노 요코와 다락방의 밀실 (전편)|검은조직|X
1060|22-18|오키노 요코와 다락방의 밀실 (후편)|검은조직|X
1061|22-19|경찰학교편 Wild Police Story CASE. 모로후시 히로미츠|경찰|X
1062|22-20|비와 악의의 스파이럴|일반|X
1063|22-21|표적이 된 병아리 감정사|일반|X
1064|22-22|꿈꾸는 귀부인 최후의 사랑|일반|X
1065|22-23|탐정은 잠들지 않는다|일반|X
1066|22-24|죽음이 두 사람을 갈라놓을 때까지|일반|X
1067|22-25|사랑에 빠진 상점가|일반|X
1068|22-26|츠부라야 미츠히코의 탐정노트|일반|X
1069|22-27|수화기 너머의 스위트 보이스|일반|X
1070|22-28|서프라이즈는 비극의 시작|일반|X
1071|22-29|쿠도 유사쿠의 추리쇼 (전편)|괴도키드|X
1072|22-30|쿠도 유사쿠의 추리쇼 (후편)|검은조직|X
1073|2022-40|탐정단의 날치기 대추적|일반|X
1074|2022-41|복지리탕 대결 미스터리 투어 (모지항 코쿠라편)|일반|X
1075|2022-42|복지리탕 대결 미스터리 투어 (시모노세키편)|일반|X
1076|2022-43|카리스마 사장의 극비 계획|일반|X
번외편|2022-44|경찰학교편 Wild Police Story CASE. 후루야 레이|경찰|X
1077|2022-45|검은 조직의 모략 (사냥)|검은조직|X
1078|2022-46|검은 조직의 모략 (상륙)|검은조직|X
1079|2022-47|검은 조직의 모략 (정체)|검은조직|X
1080|2022-48|하이바라를 노리는 카메라|일반|X
1081|2022-49|애견 판은 영리한 아이|일반|X
1082|2022-50|슬픔의 배신 골목|일반|X
1083|2022-51|J리그 결승전의 무대 뒤|일반|X
1084|2022-52|차갑게 식어버린 남자들|일반|X
1085|2023-01|불길한 인연의 맺음 (전편)|일반|X
1086|2023-02|불길한 인연의 맺음 (후편)|일반|X
1087|2023-03|아유미의 그림일기 사건부 3|일반|X
1088|2023-04|불운하고 수상한 피해자|일반|X
1089|2023-05|천재 레스토랑|일반|X
1090|2023-06|잠자는 거리로 사라진 범인|일반|X
1091|2023-07|여자회 미스터리|일반|X
1092|2023-08|잠복 근무 2|일반|X
1093|2023-09|미야노 아케미의 타임캡슐 (전편)|일반|X
1094|2023-10|미야노 아케미의 타임캡슐 (후편)|검은조직|X
1095|2023-11|사라진 남자의 꿈|일반|X
1096|2023-12|츠부라야 미츠히코의 탐정노트 2|일반|X
1097|2023-13|제가 저질렀습니까?|일반|X
1098|2023-14|바람의 여신·하기와라 치하야 (전편)|경찰|X
1099|2023-15|바람의 여신·하기와라 치하야 (후편)|경찰|X
1100|2023-16|의혹의 2000만 엔|일반|X
1101|2023-17|불사신 남자의 자존심|일반|X
1102|2023-18|아카베코와 3명의 후쿠 씨|일반|X
1103|2023-19|청춘 소설에 죄의 냄새가|일반|X
1104|2023-20|진범은 도주 중|일반|X
1105|2023-21|키드 vs 아무로 왕비의 앞머리 (전편)|괴도키드|X
1106|2023-22|키드 vs 아무로 왕비의 앞머리 (후편)|괴도키드|X
1107|2023-23|걸려든 것은 나|일반|X
1108|2023-24|카드에 숨겨진 비밀|일반|X
1109|2024-01|타카기와 다테와 수첩의 약속 (전편)|경찰|X
1110|2024-02|타카기와 다테와 수첩의 약속 (후편)|경찰|X
1111|2024-03|루브 골드버그 머신 (전편)|일반|X
1112|2024-04|루브 골드버그 머신 (후편)|일반|X
1113|2024-05|라스트 디너를 당신에게|일반|X
1114|2024-06|소란스러운 농성|일반|X
1115|2024-07|치하야와 쥬고의 혼활 파티 (전편)|경찰|X
1116|2024-08|치하야와 쥬고의 혼활 파티 (후편)|경찰|X
1117|2024-09|가라테 선생님 모리 란|일반|X
1118|2024-10|여자회 미스터리 2|일반|X
1119|2024-11|네 사람만의 동창회|일반|X
1120|2024-12|잃어버린 보물 미스터리|일반|X
1121|2024-13|위험천만한 멜론 밭|일반|X
1122|2024-14|잠복 근무 3|일반|X
1123|2024-15|군마와 나가노의 경계의 유체 (전편)|경찰|X
1124|2024-16|군마와 나가노의 경계의 유체 (후편)|경찰|X
1125|2024-17|아유미의 그림일기 사건부 4|일반|X
1126|2024-18|홀딱 빠진 탐정|일반|X
1127|2024-19|The 취조실 2|일반|X
1128|2024-20|코난과 메구레 두 인질 (전편)|일반|X
1129|2024-21|코난과 메구레 두 인질 (후편)|일반|X
1130|2024-22|트리플 콜라보의 불륜의혹 (전편)|아카이|X
1131|2024-23|트리플 콜라보의 불륜의혹 (후편)|아카이|X
1132|2024-24|츠부라야 미츠히코의 탐정노트 3|일반|X
1133|2024-25|베스트 허즈번드|일반|X
1134|2024-26|긍정남의 재난|일반|X
1135|2024-27|오오카 모미지의 달콤한 함정 (전편)|일반|X
1136|2024-28|오오카 모미지의 달콤한 함정 (후편)|검은조직|X
1137|2024-29|줄서는 맛집 조미료의 비밀|일반|X
1138|2024-30|움직이는 파출소|일반|X
1139|2024-31|심술궂은 남동생이 곤란한 누나|일반|X
1140|2024-32|여자회 미스터리 3|일반|X
1141|2024-33|집 지키는 모리 일가|일반|X
1142|2024-34|란포 저택 살인사건 (전편)|일반|X
1143|2024-35|란포 저택 살인사건 (후편)|일반|X
1144|2024-36|호텔 연속 폭파 사건 (전편)|아카이|X
1145|2024-37|호텔 연속 폭파 사건 (후편)|검은조직|X
1146|2024-38|기적 소리가 들리는 고서점 4|일반|X
1147|2024-39|잠복 근무 4|일반|X
1148|2024-40|탐정단과 두 명의 인솔자 (전편)|아카이|X
1149|2025-01|탐정단과 두 명의 인솔자 (후편)|아카이|X
1150|2025-02|괴도 키드와 왕관 매직 (전편)|괴도키드|X
1151|2025-03|괴도 키드와 왕관 매직 (후편)|괴도키드|X
1152|2025-04|라스트 댄스|일반|X
1153|2025-05|야쿠시마의 산 공주 (전편)|일반|X
1154|2025-06|야쿠시마의 산 공주 (후편)|일반|X
1155|2025-07|추적! 탐정 택시 2|일반|X
1156|2025-08|이시카와 들러보세용 미스터리 투어 (전편)|일반|X
1157|2025-09|이시카와 들러보세용 미스터리 투어 (후편)|일반|X
1158|2025-10|탐정단과 동경하는 옛 민가|일반|X
1159|2025-11|안녕의 행방|일반|X
1160|2025-12|물레방아 소리가 울려 퍼질 때|일반|X
1161|2025-13|비밀의 잔상|일반|X
1162|2025-14|아유미의 그림일기 사건부 5|일반|X
1163|2025-15|어둠 속에 들려오는 숫자 세기 노래|일반|X
1164|25기 스페셜|17년 전의 진상 (피로 물든 기사(나이트))|검은조직|X
1165|25기 스페셜|17년 전의 진상 (달안의 악마)|검은조직|X
1166|25기 스페셜|17년 전의 진상 (멀리 내다보는 각행)|검은조직|X
1167|25기 스페셜|17년 전의 진상 (여왕의 계략)|검은조직|X
1168|2025-16|겐타의 장어 포물장|일반|X
1169|-|식인 교실의 괴이 (전편)|검은조직|X
1170|-|식인 교실의 괴이 (후편)|검은조직|X
